Band,Duplex mode,Frequency,Band Name,Uplink,Downlink,Channel bandwidths,Frequency Range
n23,FDD,2200 MHz,,2000 MHz – 2020 MHz,2180 MHz - 2200 MHz,,FR1
n253,FDD,1525 MHz,L-band,1668 MHz – 1675 MHz,1518 MHz –1525 MHz,5,FR1
n254,FDD,2400 MHz,S-band,1610 MHz – 1626.5 MHz,2483.5 MHz –  2500 MHz,"5, 10, 15",FR1
n255,FDD,1600 MHz,L-band,1626.5 MHz  – 1660.5 MHz,1525 MHz – 1559 MHz,"5, 10, 15, 20",FR1
n256,FDD,2100 MHz,S-band,1980 MHz – 2010 MHz,2170 MHz – 2200 MHz,"5, 10, 15, 20",FR1
n257,TDD,28 GHz,LMDS,26.50 GHz  –  29.50 GHz,26.50 GHz - 29.50 GHz,"50, 100, 200, 400",FR2
n258,TDD,26 GHz,K-band,24.25 GHz – 27.50 GHz,24.25 GHz - 27.50 GHz,"50, 100, 200, 400",FR2
n259,TDD,41 GHz,V-band,39.50 GHz – 43.50 GHz,39.50 GHZ - 43.50 GHz,"50, 100, 200, 400",FR2
n260,TDD,39 GHz,Ka-band,37.00 GHz – 40.00 GHz,37.00 GHz - 40.00 GHz,"50, 100, 200, 400",FR2
n261,TDD,28 GHz,Ka-band,27.50 GHz – 28.35 GHz,27.50 GHz - 28.35 GHz,"50, 100, 200, 400",FR2
n262,TDD,47 GHz,V-band,47.20 GHz – 48.20 GHz,47.20 GHz - 48.20 GHz,"50, 100, 200, 400",FR2
n510,FDD,28 GHz,Ka-band,27.50 GHz – 28.35 GHz,17.30 GHz – 20.20 GHz,"50, 100, 200, 400",FR2
n511,FDD,28 GHz,Ka-band,28.35 GHz  – 30.00 GHz,17.30 GHz – 20.20 GHz,"50, 100, 200, 400",FR2
n512,FDD,28 GHz,Ka-band,27.50 GHz – 30.00 GHz,17.30 GHz – 20.20 GHz,"50, 100, 200, 400",FR2
