Tech,Interface,Part1,Part2
2G,Um,UE,BTS
2G,Abis,BTS,BSC
2G,A,BSC,MSC
2G,B,MSC,VLR
2G,C,HLR,GMSC
2G,D,HLR,VLR
2G,E,MSC,MSC
2G,E,MSC,G-MSC
2G,F,EIR,MSC
2G,F,EIR,G-MSC
2G,G,VLR,VLR
2G,H,MSC ,SMS-G
2G,I,MSC ,UE
3G,B,MSC,VLR
3G,C,MSC,HLR
3G,D,VLR,HLR
3G,E,MSC,GMSC
3G,F,MSC,EIR
3G,G,VLR,VLR
3G,Gc,GGSN,HLR
3G,Gd,SGSN,SMSC
3G,Gf,SGSN,EIR
3G,Gn,SGSN,GGSN
3G,Gr,SGSN,HLR
3G,Gs,SGSN,VLR
3G,H,HLR,AuC
3G,IuPS,RNC,SGSN
3G,IuCS,RNC,MSC
3G,IuCS,RNC,VLR
3G,Iub,NodeB,RNC
3G,Iur,RNC,RNC
3G,Uu,UE,NodeB
4G,S1-MME ,eNB,MME
4G,S1-U,eNB,SGW
4G,S3,MME,SCGN
4G,S4,PGW/SGW,SCGN
4G,S5,SGW,PGW
4G,S7,PCRF,PGW
4G,S6a,MME,HSS
4G,S8,SGW,PGW
4G,S9,PCRF,PCRF
4G,S10,MME,MME
4G,S11,MME,SGW
4G,S12,BSC/RNC,SGW
4G,S13,MME/SGSN,EIR
4G,Sp,SPR,PCRF
4G,SBc,CBC,MME
4G,SGi,PGW,PDN
4G,Rx,PCRF,PDN
4G,LTE-Uu,UE,eNB
4G,X2,eNB,eNB
4G,Gy,OCS,PGW
4G,Gz,OFCS,PGW
4G,Gx,PCRF,PGW
5G,N1,UE,AMF
5G,N2,gNB,AMF
5G,N3,gNB,UPF
5G,N4,SMF,UPF
5G,N6,UPF,DN
5G,N9,UPF,UPF
5G,N5,PCF,AF
5G,N7,SMF,PCF
5G,N8,UDM,AMF
5G,N10,UDM,SMF
5G,N11,AMF,SMF
5G,N12,AMF,AUSF
5G,N13,UDM,AUSF
5G,N14,AMF,AMF
5G,N15,PCF,AMF
5G,N16,SMF,SMF
5G,N16a,SMF,I-SMF
5G,N17,AMF,5G-EIR
5G,N18,NF,UDSF
5G,N19,UPF,UPF
5G,N22,AMF,NSSF
5G,N23,PCF,NWDAF
5G,N24,PCF,PCF
5G,N26,MME,AMF
5G,N27,NRF,NRF
5G,N28,PCF,CHF
5G,N29,NEF,SMF
5G,N30,PCF,NEF
5G,N31,NSSF,NSSF
5G,N32,SEPP,SEPP
5G,N33,NEF,AF
5G,N34,NSSF,NWDAF
5G,N35,UDM,UDR
5G,N36,PCF,UDR
5G,N37,NEF,UDR
5G,N38,I-SMF,I-SMF
5G,N40,SMF,CHF
5G,N50,AMF,CBCF
5G,N51,AMF,NEF
5G,N52,NEF,UDM
5G,N55,AMF,UCMF
5G,N56,NEF,UCMF
5G,N57,AF,UCMF
5G,N41,AMF,CHF
5G,N58,AMF,NSSAAF
5G,N59,UDM,NSSAAF
5G,NG-C,gNB,AMF
5G,NG-U,gNB,UPF
5G,Xn,gNB,gNB
5G,E1,CU-CP,CU-UP
5G,F1,gNB-DU,gNB-CU
5G,eCPRI,DU,RU
5G,X2,en-gNB,eNB
5G,S1-U,en-gNB,MME/SGW
